"","Survey","Site","Treatment","cover.div","fauna.div","Grazer_mg_day","drift_mg_day","sg_survival","Epiphyte_mg_day"
"1",2,"FP","CB",0.017148911173644,0.0182562127755519,1.36,111.3475,0.55,19.185
"2",2,"FP","CB",0.0141851548086715,0.0171555723595441,2.895,97.365,0.791666666666667,33.0775
"3",2,"FP","SG",0.0139308163608039,0.0177648204730342,2.1425,48.6325,0.658333333333333,29.0675
"4",2,"FP","SG",0.013293495704698,0.0165414409212493,2.49,93.5825,0.716666666666667,27.455
"5",2,"FP","OY",0.017754277139958,0.017872290892256,2.0225,44.59,0.516666666666667,31.0575
"6",2,"FP","OY",0.0176115740208744,0.0175041992558701,1.1125,54.085,0.266666666666667,38.965
"7",2,"LL","CB",0.0156775862263824,0.0150404932268624,10.26,42.2625,0.725,13.6516666666667
"8",2,"LL","CB",0.0142078401120163,0.0164889662660625,9.3975,34.05,0.558333333333333,5.49
"9",2,"LL","SG",0.0153882821188017,0.0180384237136085,10.2025,45.215,0.775,6.69
"10",2,"LL","SG",0.0145953161457802,0.0223323305985504,11.6275,52.285,0.658333333333333,9.28
"11",2,"LL","OY",0.0164170579230783,0.0153878492637966,2.5375,11.6125,0.808333333333333,18.89
"12",2,"LL","OY",0.0144059739172751,0.0154764613846096,3.0025,45.245,0.991666666666667,14.8475
"13",3,"FP","CB",0.0175143412160081,0.0136147001223612,1.94473684210526,190.723684210526,0.4,174.931578947368
"14",3,"FP","CB",0.0155674833280873,0.0133518036319954,1.18947368421053,184.165789473684,0.491666666666667,198.423684210526
"15",3,"FP","SG",0.015118706878019,0.0150632037807029,1.82368421052632,281.807894736842,0.8,111.781578947368
"16",3,"FP","SG",0.0151944818897845,0.01240398820821,1.75526315789474,113.592105263158,0.741666666666667,145.202631578947
"17",3,"FP","OY",0.0187107906225193,0.0152091249002444,0.965789473684211,87.3684210526316,0.483333333333333,161.315789473684
"18",3,"FP","OY",0.0153897609518032,0.015058962618061,1.8,146.926315789474,0.316666666666667,165.105263157895
"19",3,"LL","CB",0.0182520284243758,0.0129490132018744,14.1131578947368,23.5526315789474,0.708333333333333,82.6
"20",3,"LL","CB",0.0166397164102213,0.0131788435237503,10.1657894736842,18.8236842105263,0.766666666666667,67.1657894736842
"21",3,"LL","SG",0.0139572340755837,0.0161411741470706,10.5157894736842,67.5368421052631,0.766666666666667,30.1684210526316
"22",3,"LL","SG",0.0140267155015729,0.0162180492634386,11.8394736842105,34.9421052631579,0.991666666666667,60.4368421052632
"23",3,"LL","OY",0.0151980053495416,0.0144582136398534,1.57631578947368,40.0921052631579,0.708333333333333,145.973684210526
"24",3,"LL","OY",0.0164774973339665,0.0130108990004804,1.72631578947368,28.8842105263158,1.1,114.105263157895
"25",4,"FP","CB",0.0168083157534679,0.0190069545841397,2.18913043478261,9.92173913043478,0.6,62.0978260869565
"26",4,"FP","CB",0.0158369998438381,0.0156025983899986,1.45434782608696,8.45434782608696,0.633333333333333,70.1413043478261
"27",4,"FP","SG",0.0138929019977351,0.0147173369301758,5.72826086956522,58.404347826087,0.441666666666667,43.5
"28",4,"FP","SG",0.0138101651021639,0.0150625233697811,2.80869565217391,22.1195652173913,0.366666666666667,44.1434782608696
"29",4,"FP","OY",0.0164541665570115,0.0205588186267704,1.75,1.03695652173913,0.0916666666666667,82.2065217391304
"30",4,"FP","OY",0.016434904104388,0.0190165821956725,0.945652173913043,9.29565217391304,0.275,38.2826086956522
"31",4,"LL","CB",0.0188118075799252,0.0179546269364765,7.11521739130435,26.15,0.4,174.539130434783
"32",4,"LL","CB",0.0182799489669086,0.0129647295219106,20.095652173913,80.6891304347826,0.708333333333333,186.732608695652
"33",4,"LL","SG",0.0180482069217736,0.0193859188386363,17.1369565217391,30.2630434782609,1.14166666666667,134.165217391304
"34",4,"LL","SG",0.0144988335723349,0.0164502862182927,10.0260869565217,13.8782608695652,0.741666666666667,150.530434782609
"35",4,"LL","OY",0.0161701438017179,0.0152906574334531,10.7630434782609,23.5,0.808333333333333,183.378260869565
"36",4,"LL","OY",0.0159667942073696,0.0210064572310744,9.22173913043478,22.3086956521739,1.025,246.054347826087
"37",5,"FP","CB",0.0191581013417928,0.0143402380384772,0.690909090909091,2.02954545454545,0.283333333333333,28.3704545454545
"38",5,"FP","CB",0.0183540964460819,0.0153754953699418,0.765909090909091,3.82045454545455,0.591666666666667,24.7568181818182
"39",5,"FP","SG",0.0168601103437755,0.0154641833218153,6.82727272727273,111.568181818182,0.458333333333333,22.0772727272727
"40",5,"FP","SG",0.0177584824448375,0.0142711258885847,4.55227272727273,38.4659090909091,0.341666666666667,23.2
"41",5,"FP","OY",0.0175924814359049,0.0142997272339849,1.13863636363636,5.93181818181818,0.3,23.6863636363636
"42",5,"FP","OY",0.0172274465816374,0.015104759245007,0.725,1.92045454545455,0.291666666666667,21.4522727272727
"43",5,"LL","CB",0.0195656195354688,0.0211329627659465,5.64545454545455,0.734090909090909,0.508333333333333,32.0545454545455
"44",5,"LL","CB",0.0206136470021219,0.0189926950572674,14.1272727272727,7.66818181818182,0.508333333333333,108.861363636364
"45",5,"LL","SG",0.0192976410887328,0.0220583223663519,4.79090909090909,1.51363636363636,0.825,35.5977272727273
"46",5,"LL","SG",0.0180718541679343,0.0143214570000094,3.96363636363636,1,0.675,19.7090909090909
"47",5,"LL","OY",0.0171221056786348,0.0142403488836579,1.95545454545455,1.96590909090909,0.4,44.5818181818182
"48",5,"LL","OY",0.0165706268030287,0.0158570719903093,4.50681818181818,4.10454545454545,0.733333333333333,49.7204545454545
